          0.001	        1.01145
     0.00117681	        1.01538
     0.00138489	        1.02064
     0.00162975	        1.02769
     0.00191791	        1.03713
     0.00225702	        1.04981
     0.00265609	        1.06683
     0.00312572	        1.08974
     0.00367838	        1.12069
     0.00432876	        1.16272
     0.00509414	        1.22019
     0.00599484	        1.29958
      0.0070548	        1.41078
     0.00830218	        1.56951
      0.0097701	        1.80199
      0.0114976	        2.15457
      0.0135305	        2.71498
      0.0159228	        3.66348
      0.0187382	         5.4089
      0.0220513	        8.99465
      0.0259502	          17.49
      0.0305386	        41.5965
      0.0359381	         126.97
      0.0422924	        520.157
      0.0497702	        2961.96
      0.0585702	        23932.9
      0.0689261	         274551
      0.0811131	    4.34834e+06
      0.0954548	    8.89315e+07
       0.112332	    2.09182e+09
       0.132194	    4.76874e+10
       0.155568	    8.41149e+11
       0.183074	    8.79928e+12
       0.215443	    4.13628e+13
       0.253536	    6.84429e+13
       0.298365	    3.41118e+13
       0.351119	    5.03791e+12
       0.413201	    2.56607e+11
        0.48626	    6.13013e+09
       0.572237	    1.02863e+08
       0.673415	    1.82466e+06
       0.792483	        47257.6
       0.932603	        2144.37
         1.0975	        177.162
        1.29155	        24.7342
        1.51991	         4.9517
        1.78865	        1.03194
         2.1049	     -0.0560233
        2.47708	      -0.446661
        2.91505	      -0.603157
        3.43047	       -0.63863
        4.03702	      -0.572025
        4.75081	      -0.401498
        5.59081	      -0.150429
        6.57933	      0.0911657
        7.74264	        0.17477
        9.11163	       0.036047
        10.7227	       -0.10689
        12.6186	     0.00636595
        14.8497	       0.055131
        17.4753	     -0.0597932
        20.5651	      0.0504051
        24.2013	     -0.0342403
        28.4804	      -0.007424
         33.516	      0.0262031
        39.4421	       0.025302
        46.4159	       0.014136
        54.6228	     -0.0172835
        64.2807	      0.0155174
        75.6463	     0.00325901
        89.0215	     0.00980773
        104.762	    -0.00847472
        123.285	    -0.00561069
        145.083	      0.0037209
        170.735	     0.00519462
        200.923	   -0.000688076
        236.449	    -0.00312058
        278.256	     0.00350415
        327.455	     0.00203527
        385.353	     0.00226793
        453.488	     0.00196393
         533.67	   -0.000731179
        628.029	   -0.000454404
        739.072	   -0.000968699
        869.749	    0.000522938
        1023.53	   -0.000574176
         1204.5	   -0.000793822
        1417.47	   -0.000407542
         1668.1	    5.09917e-05
        1963.04	    0.000223759
        2310.13	   -0.000377432
        2718.59	    -0.00032957
        3199.27	    0.000282133
        3764.94	    0.000256476
        4430.62	    0.000186917
        5214.01	   -0.000164965
        6135.91	   -5.99694e-05
        7220.81	    0.000137101
        8497.53	    5.36912e-05
          10000	   -3.05615e-05
